CanonicalSMILES,CID
C1=CC(=C(C(=C1)NS(=O)(=O)C2=CC=C(C=C2)F)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N,66647187
C1=CC(=C(C(=C1)NS(=O)(=O)C2=CC=C(C=C2)F)F)C(=O)C3=CNC4=NC=NC=C34,44512104
C1=CC(=C(C(=C1)NS(=O)(=O)C2=CN=CC=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N,49779315
C1=CC(=C(C(=C1)NS(=O)(=O)C2=CN=CC=C2)F)C(=O)C3=CNC4=NC=NC=C34,57963277
C1=CC(=C(C(=C1)NS(=O)(=O)CC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)C#N,66647161
C1=CC(=C(C(=C1)NS(=O)(=O)CC(F)(F)F)F)C(=O)C2=CNC3=NC=NC=C23,57963241
C1=CC(=C(C(=C1)NS(=O)(=O)CC2=CC=NC=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N,66646427
C1=CC(=C(C(=C1)NS(=O)(=O)CC2=CN=CC=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N,66646527
C1=CC(=C(C(=C1)NS(=O)(=O)CCC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)C#N,66646557
C1=CC(=C(C(=C1)NS(=O)C2=CC=C(C=C2)C(F)(F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N,91256260
C1=CC(=C(C(=C1)NS(=O)C2=CC=C(C=C2)C(F)(F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl,91111153
C1=CC(=C(C(=C1)NS(=O)O)F)C(=O)C2=CNC3=C2C=CC=N3,90025904
C1=CC(=C(C(=C1)NS(=O)[O-])F)C(=O)C2=CNC3=C2C=CC=N3,90025903
C1=CC(=C(C(=C1)NS)F)C(=O)C2=CNC3=C2C=CC=N3,144086833
C1=CC(=C(C(=C1)S(=O)(=O)N)C2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F)C#N,142693983
C1=CC(=C(C(=C1C(=O)C2=CNC3=C2C=C(C=N3)C4=CN=C(N=C4)C(F)(F)F)F)NS(=O)(=O)CCC(F)(F)F)F,146302457
C1=CC(=C(C(=C1C(=O)C2=CNC3=NC=CC(=C23)Cl)F)F)F,115512601
C1=CC(=C(C(=C1C2=C(C=CS2)S(=O)(=O)N)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,160929196
C1=CC(=C(C(=C1CCCS(=O)(=O)N)Cl)C(=O)C2=CNC3=C2C=C(C=N3)Br)F,70819184
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=C2C(=NC=N3)Cl)F,88929962
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=C2C=C(C=N3)C(F)(F)F)F,68752071
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC(=NC=C4)F)F,68429095
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=NC=C4)F,68669634
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)Cl,68669752
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,58086398
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=C2C=C(C=N3)F)F,68669232
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=C2C=C(C=N3)I)F,58368852
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=NC=C(C(=C23)C#N)Cl)F,68307404
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=NC=C(C(=C23)Cl)C#N)F,67173835
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=NC=C(C(=C23)I)Cl)F,58316936
C1=CC(=C(C(=C1N)F)C(=O)C2=CNC3=NC=CC(=C23)Cl)F,58316977
C1=CC(=C(C(=C1N)P)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,143384601
C1=CC(=C(C(=C1N=NN)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,71219071
C1=CC(=C(C(=C1NCCC2=CC#CC(=C2)C(F)(F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,143711988
C1=CC(=C(C(=C1NNS(=O)(=O)C2=CC(=CC(=C2)F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,71219014
C1=CC(=C(C(=C1NS(=O)(=O)C(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)Br)F,87088952
C1=CC(=C(C(=C1NS(=O)(=O)C(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,87088851
C1=CC(=C(C(=C1NS(=O)(=O)C(F)(F)F)F)C(=O)C2=CNC3=NC=NC=C23)F,57963305
C1=CC(=C(C(=C1NS(=O)(=O)C2=CC(=CC(=C2)F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,58086516
C1=CC(=C(C(=C1NS(=O)(=O)C2=CC(=CC(=C2)F)F)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F.C1=C(C=C(C=C1F)S(=O)(=O)Cl)F,160184433
C1=CC(=C(C(=C1NS(=O)(=O)C2=CC3=CNSN3C=C2)F)C(=O)C4=CNC5=C4C=C(C=N5)Cl)F,66646716
C1=CC(=C(C(=C1NS(=O)(=O)C2=CC=C(S2)C(=O)C=CN)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,58087937
C1=CC(=C(C(=C1NS(=O)(=O)C2=CC=C(S2)C(=O)CC=N)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,91401513
C1=CC(=C(C(=C1NS(=O)(=O)C2=CSC=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,58086992
C1=CC(=C(C(=C1NS(=O)(=O)C2=NC=NN2)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,66646515
C1=CC(=C(C(=C1NS(=O)(=O)C2=NC=NN2)F)C(=O)C3=CNC4=NC=CC(=C34)Cl)F,66646826
C1=CC(=C(C(=C1NS(=O)(=O)CC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)Br)F,86665130
C1=CC(=C(C(=C1NS(=O)(=O)CC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)C#N)F,66646892
C1=CC(=C(C(=C1NS(=O)(=O)CC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,87088960
C1=CC(=C(C(=C1NS(=O)(=O)CC(F)(F)F)F)C(=O)C2=CNC3=NC=CC(=C23)C#N)F,66646814
C1=CC(=C(C(=C1NS(=O)(=O)CC(F)(F)F)F)C(=O)C2=CNC3=NC=CC(=C23)Cl)F,87088928
C1=CC(=C(C(=C1NS(=O)(=O)CC(F)(F)F)F)C(=O)C2=CNC3=NC=NC=C23)F,57963314
C1=CC(=C(C(=C1NS(=O)(=O)CC2=CC=NC=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N)F,66646940
C1=CC(=C(C(=C1NS(=O)(=O)CCC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)Br)F,87088899
C1=CC(=C(C(=C1NS(=O)(=O)CCC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)C#N)F,66646949
C1=CC(=C(C(=C1NS(=O)(=O)CCC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,87089078
C1=CC(=C(C(=C1NS(=O)(=O)CCC(F)(F)F)F)C(=O)C2=CNC3=NC=CC(=C23)C#N)F,66646985
C1=CC(=C(C(=C1NS(=O)(=O)CCC(F)(F)F)F)C(=O)C2=CNC3=NC=CC(=C23)Cl)F,87088887
C1=CC(=C(C(=C1NS(=O)(=O)CCC(F)(F)F)F)C(=O)C2=CNC3=NC=NC=C23)F,57963317
C1=CC(=C(C(=C1NS(=O)(=O)CCCF)F)C(=O)CC2=CC3=C(NC(=C3Br)Br)N=C2)F,58252040
